GEOID,DAC_NAME,DAC_NAMELSAD,Pop16,HH16,MHI16,DAC16,Area_sqmi,FID_GSA_in,Basin_Numb,Basin_Subb,Basin_Name,GSA_Name,Area_sqm_1,Area_sqm_i,PercArea
618674,Del Rey,Del Rey CDP,1531,403,25809,Y,1.217103024,28,5-022,5-022.08,SAN JOAQUIN VALLEY,South Kings GSA,14.6723293,0.409553442,0.336498582
655856,Parlier,Parlier city,14953,3714,30556,Y,2.317104296,28,5-022,5-022.08,SAN JOAQUIN VALLEY,South Kings GSA,14.6723293,2.198751214,0.948921987
625436,Fowler,Fowler city,6083,1772,47572,Y,2.516369336,28,5-022,5-022.08,SAN JOAQUIN VALLEY,South Kings GSA,14.6723293,2.434154531,0.967328006
667056,Sanger,Sanger city,24741,6710,42771,Y,5.765193195,28,5-022,5-022.08,SAN JOAQUIN VALLEY,South Kings GSA,14.6723293,5.695551947,0.987920397
636084,Huron,Huron city,6821,1689,25321,Y,1.591030189,22,5-022,5-022.09,SAN JOAQUIN VALLEY,County of Fresno GSA - Westside,15.8998263,0.907847579,0.570603616
603302,Avenal,Avenal city,13590,2120,35103,Y,19.42177055,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,2.945365249,0.151652767
636084,Huron,Huron city,6821,1689,25321,Y,1.591030189,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.68318261,0.429396384
641166,Lemoore Station,Lemoore Station CDP,6544,1618,42750,Y,4.205886465,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,4.201892867,0.999050474
610816,Cantua Creek,Cantua Creek CDP,434,122,32368,Y,3.796494431,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,3.796494431,1
678652,Three Rocks,Three Rocks CDP,258,54,35789,Y,0.749594795,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.749594795,1
684863,Westside,Westside CDP,269,61,41563,Y,2.216533555,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,2.216533555,1
622360,El Rancho,El Rancho CDP,76,15,0,Data Not Available,0.072010998,77,5-022,5-022.11,SAN JOAQUIN VALLEY,East Kaweah GSA,183.032892,0.072010998,1
636910,Ivanhoe,Ivanhoe CDP,4014,1083,31611,Y,2.01390298,77,5-022,5-022.11,SAN JOAQUIN VALLEY,East Kaweah GSA,183.032892,0.789473654,0.392011761
641656,Lindcove,Lindcove CDP,515,146,43500,Y,0.682386451,77,5-022,5-022.11,SAN JOAQUIN VALLEY,East Kaweah GSA,183.032892,0.682376043,0.999984746
641712,Lindsay,Lindsay city,13052,3524,30317,Y,2.732672934,77,5-022,5-022.11,SAN JOAQUIN VALLEY,East Kaweah GSA,183.032892,2.732672934,1
657568,Plainview,Plainview CDP,906,231,22083,Y,0.309114801,77,5-022,5-022.11,SAN JOAQUIN VALLEY,East Kaweah GSA,183.032892,0.309114801,1
675280,Strathmore,Strathmore CDP,3240,819,25288,Y,1.419441035,77,5-022,5-022.11,SAN JOAQUIN VALLEY,East Kaweah GSA,183.032892,1.419441035,1
678932,Tonyville,Tonyville CDP,816,146,48281,Y,0.050495385,77,5-022,5-022.11,SAN JOAQUIN VALLEY,East Kaweah GSA,183.032892,0.050495385,1
678949,Tooleville,Tooleville CDP,470,135,28527,Y,0.066767704,77,5-022,5-022.11,SAN JOAQUIN VALLEY,East Kaweah GSA,183.032892,0.066767704,1
636910,Ivanhoe,Ivanhoe CDP,4014,1083,31611,Y,2.01390298,75,5-022,5-022.11,SAN JOAQUIN VALLEY,Greater Kaweah GSA,342.8807822,1.224406848,0.607977077
686300,Woodlake,Woodlake city,7567,2093,34583,Y,2.847242937,75,5-022,5-022.11,SAN JOAQUIN VALLEY,Greater Kaweah GSA,342.8807822,2.791872298,0.980552893
623126,Exeter,Exeter city,10504,3418,42590,Y,2.463032397,75,5-022,5-022.11,SAN JOAQUIN VALLEY,Greater Kaweah GSA,342.8807822,2.435852651,0.988964925
630476,Goshen,Goshen CDP,3739,950,39360,Y,1.777909754,75,5-022,5-022.11,SAN JOAQUIN VALLEY,Greater Kaweah GSA,342.8807822,1.770720709,0.995956463
656120,Patterson Tract,Patterson Tract CDP,1915,571,39006,Y,1.445772437,75,5-022,5-022.11,SAN JOAQUIN VALLEY,Greater Kaweah GSA,342.8807822,1.444600893,0.999189676
641110,Lemon Cove,Lemon Cove CDP,257,114,48333,Y,0.833596805,75,5-022,5-022.11,SAN JOAQUIN VALLEY,Greater Kaweah GSA,342.8807822,0.833360632,0.999716682
623616,Farmersville,Farmersville city,10699,2631,33689,Y,2.258414243,75,5-022,5-022.11,SAN JOAQUIN VALLEY,Greater Kaweah GSA,342.8807822,2.258414243,1
641740,Linnell Camp,Linnell Camp CDP,818,201,20565,Y,0.117130657,75,5-022,5-022.11,SAN JOAQUIN VALLEY,Greater Kaweah GSA,342.8807822,0.117130657,1
684345,West Goshen,West Goshen CDP,580,141,25335,Y,1.17756848,75,5-022,5-022.11,SAN JOAQUIN VALLEY,Greater Kaweah GSA,342.8807822,1.17756848,1
